חברה,שם,קטגוריה,אתר אינטרנט,כתובת,טלפון,קניות אונליין,אזור,חדש,latitude,longitude
Food appeal,כפר יונה,אביזרי מטבח,www.foodappeal-online.com,"כפר יונה, דוד בן גוריון 1",,Y,שרון,N,32.320817,34.936043
Food appeal,בני ברק ,אביזרי מטבח,www.foodappeal-online.com,"בנ ברק, רבי עקיבא 116",,Y,מרכז,N,32.085743,34.834240
Food appeal,באר שבע - גרנד קניון ,אביזרי מטבח,www.foodappeal-online.com,"באר שבע, שדרות דוד טוביהו 125",,Y,דרום,N,31.25053,34.771723
Food appeal,רחובות ,אביזרי מטבח,www.foodappeal-online.com,"רחובות, ביל""ו 2",,Y,מרכז,N,31.893270,34.806781
Food appeal,מודיעין,אביזרי מטבח,www.foodappeal-online.com,"מודיעין, לב העיר 2, קניון עזריאלי",,Y,מרכז,N,31.899751,35.008266
Food appeal,עכו ,אביזרי מטבח,www.foodappeal-online.com,"עכו, החרושת 2 קניון עזריאלי ",,Y,צפון,N,32.922903,35.081188
Food appeal,ראש העין - אולם תצוגה,אביזרי מטבח,www.foodappeal-online.com,"ראש העין, שלום מנצורה 1",,Y,מרכז,N,32.105004,34.942168
FOX home,מרכז ביג,אביזרי מטבח,www.foxhome.co.il,"אילת, הסתת 20",08-6339833,Y,אילת,N,29.566609,34.959326
FOX home,איירפורט סיטי,אביזרי מטבח,www.foxhome.co.il,"לוד, ערבה קרית שדה התעופה",03-6525923,Y,מרכז,N,31.984539,34.914055000000005
FOX home,פאוור סנטר סילבר,אביזרי מטבח,www.foxhome.co.il,"אשקלון, צומת כפר סילבר",08-6635933,Y,דרום,N,31.674518,34.609113
FOX home,קניון הנגב,אביזרי מטבח,www.foxhome.co.il,"באר שבע, צומת אלי כהן",08-6586878,Y,דרום,N,31.24423,34.792398
FOX home,מתחם ביג,אביזרי מטבח,www.foxhome.co.il,"באר שבע, דרך חברון 21",08-6655523,Y,דרום,N,31.243857,34.809928
נעמן פורצלן,באר שבע ביג,אביזרי מטבח,www.naamanp.co.il,"באר שבע, דרך חברון 21",08-6652972,N,דרום,N,31.243708294029293,34.80980322087483
FOX home,"ביל""ו סנטר",אביזרי מטבח,www.foxhome.co.il,"קרית עקרון, צומת בילו קרית עקרון",08-9455612,Y,מרכז,N,31.872098,34.818710
FOX home,קניון Big Fashion,אביזרי מטבח,www.foxhome.co.il,"בית שמש, יגאל אלון 1",02-5826776,Y,ירושלים,N,31.756278,34.987452999999995
נעמן פורצלן,בית שמש ביג,אביזרי מטבח,www.naamanp.co.il,"בית שמש, יגאל אלון 3",02-5828403,N,ירושלים,N,31.756142949974684,34.9873548804132
FOX home,קניון גבעתיים,אביזרי מטבח,www.foxhome.co.il,"גבעתיים, דרך יצחק רבין 53",03-5367535,Y,מרכז,N,32.066486,34.810362000000005
FOX home,דלית אל כרמל,אביזרי מטבח,www.foxhome.co.il,"דלית אל כרמל, מתחם חצי חינם",04-6891269,Y,צפון,N,32.693796,35.055550000000004
FOX home,קניון שרונים,אביזרי מטבח,www.foxhome.co.il,"הוד השרון, הירקון 2",09-8917319,Y,שרון,N,32.097529,34.896206
FOX home,קניון מול זכרון,אביזרי מטבח,www.foxhome.co.il,"זכרון יעקב, כביש 4 אזור תעשיה מערבי",04-6018654,Y,צפון,N,32.569571,34.940664
FOX home,מתחם מיקס חדרה,אביזרי מטבח,www.foxhome.co.il,"חדרה, צה""ל 5",04-6951485,Y,צפון,N,32.438224,34.927808
FOX home,קניון חולון,אביזרי מטבח,www.foxhome.co.il,"חולון, גולדה מאיר 7",03-6189477,Y,מרכז,N,32.012039,34.779455999999996
FOX home,חצי חינם,אביזרי מטבח,www.foxhome.co.il,"חולון, המרכבה 31",03-6517157,Y,מרכז,N,32.010658,34.808224
FOX home,קניון חיפה,אביזרי מטבח,www.foxhome.co.il,"חיפה, משה פלימן 4",04-6891732,Y,צפון,N,32.789601,34.965211000000004
נעמן פורצלן,חיפה עזריאלי,אביזרי מטבח,www.naamanp.co.il,"חיפה, משה פלימן 4",04-8502522,N,צפון,N,32.789455999999994,34.965066
FOX home,פוקס הופ סניף חיפה,אביזרי מטבח,www.foxhome.co.il,"חיפה, שד' הנשיא 134 (איקאה צפון)",04-6850840,Y,צפון,N,32.803152,34.986388000000005
FOX home,מרכז ביג,אביזרי מטבח,www.foxhome.co.il,"טבריה, יהודה הלוי 1",04-6263078,Y,צפון,N,32.790512,35.533915
נעמן פורצלן,טבריה ביג פאשן,אביזרי מטבח,www.naamanp.co.il,"טבריה, יהודה הלוי 1",04-6043748,N,צפון,N,32.79039695850636,35.533770742529796
FOX home,מתחם G,אביזרי מטבח,www.foxhome.co.il,"יוקנעם, התמר 2",04-6576727,Y,צפון,N,32.659615,35.105244
FOX home,קניון מלחה,אביזרי מטבח,www.foxhome.co.il,"ירושלים, אגודת הספורט ביתר 1",02-6284456,Y,ירושלים,N,31.751683,35.187471
FOX home,קניון הדר תלפיות,אביזרי מטבח,www.foxhome.co.il,"ירושלים, פייר קניג 26",02-6258108,Y,ירושלים,N,31.75271,35.214105
FOX home,קניון רמות,אביזרי מטבח,www.foxhome.co.il,"ירושלים, גולדה מאיר פינת הקונגרס הציוני",02-6508434,Y,ירושלים,N,31.817872,35.194427
FOX home,ממילא,אביזרי מטבח,www.foxhome.co.il,"ירושלים, שלמה המלך 9",,Y,ירושלים,N,31.778378,35.223647
FOX home,קניון ערים,אביזרי מטבח,www.foxhome.co.il,"כפר סבא, כצנלסון 14",09-7666098,Y,שרון,N,32.177306,34.903634
FOX home,ביג כרמיאל,אביזרי מטבח,www.foxhome.co.il,"כרמיאל, מעלה כמון 2",04-9995469,Y,צפון,N,32.927267,35.324214
FOX home,ישפרו סנטר,אביזרי מטבח,www.foxhome.co.il,"מודיעין, שד' המלאכה 121",08-6532525,Y,ירושלים,N,31.883302,35.012108
FOX home,קניון מודיעין,אביזרי מטבח,www.foxhome.co.il,"מודיעין, לב העיר 2",08-8678384,Y,ירושלים,N,31.899867,35.008414
FOX home,ביג פאשן,אביזרי מטבח,www.foxhome.co.il,"נצרת, תופיק זאיד 53",04-6737320,Y,צפון,N,32.696002,35.301169
FOX home,FOX home,אביזרי מטבח,www.foxhome.co.il,"נתניה, גנדן 8/8",09-7423933,Y,שרון,N,32.276666,34.861504
FOX home,FOX home,אביזרי מטבח,www.foxhome.co.il,"עפולה, קהילת ציון 24",04-6737314,Y,צפון,N,32.605703,35.297025
FOX home,מתחם G עמק הסנטר,אביזרי מטבח,www.foxhome.co.il,"עפולה, שד' יצחק רבין 18",04-6455790,Y,צפון,N,32.619061,35.31268600000001
FOX home,FOX home,אביזרי מטבח,www.foxhome.co.il,"פרדס חנה, מרכז תדהר",04-6339135,Y,צפון,N,32.490657,34.975018000000006
FOX home,קניון סירקין,אביזרי מטבח,www.foxhome.co.il,"פתח תקווה, אלעזר פרידמן 9",03-5495317,Y,מרכז,N,32.079457,34.902712
FOX home,קניון קרית אונו,אביזרי מטבח,www.foxhome.co.il,"קרית אונו, שלמה המלך 37",03-5083978,Y,מרכז,N,32.055574,34.863532
FOX home,ביג קריות,אביזרי מטבח,www.foxhome.co.il,"חיפה, שד' ההסתדרות 248",04-8733320,Y,צפון,N,32.810796,35.071759
FOX home,קניון 8 סנטר,אביזרי מטבח,www.foxhome.co.il,"קרית שמונה, טשרניחובסקי 4",04-8718837,Y,צפון,N,33.21061,35.568742
FOX home,FOX home,אביזרי מטבח,www.foxhome.co.il,"ראשון לציון, לישנסקי 2",03-5351913,Y,מרכז,N,31.987187,34.764016
FOX home,קניון רחובות,אביזרי מטבח,www.foxhome.co.il,"רחובות, ביל""ו 2",08-6420398,Y,מרכז,N,31.89225,34.806032
נעמן פורצלן,רחובות קניון רחובות,אביזרי מטבח,www.naamanp.co.il,"רחובות, ביל""""ו 2",08-9493773,N,מרכז,N,31.892078339402712,34.80587079996936
FOX home,סניף רמות,אביזרי מטבח,www.foxhome.co.il,"רמות, רמות",,Y,צפון,N,32.850365,35.665245
FOX home,קניון רמת אביב,אביזרי מטבח,www.foxhome.co.il,"תל-אביב, איינשטיין 40",03-5447528,Y,מרכז,N,32.112152,34.795928
FOX home,סכנין,אביזרי מטבח,www.foxhome.co.il,"סכנין, סכנין",04-6471175,Y,צפון,N,32.864244,35.275216
FOX home,קניון רננים,אביזרי מטבח,www.foxhome.co.il,"רעננה, המלאכה 2 קניון רננים",09-8828643,Y,שרון,N,32.197180,34.878029
נעמן פורצלן,סטאר סנטר,אביזרי מטבח,www.naamanp.co.il,"אשדוד, יהודה הלוי פינת בלפור 9",08-9709804,N,דרום,N,31.797923440079476,34.64850855992052
נעמן פורצלן,קניון בת ים,אביזרי מטבח,www.naamanp.co.il,"בת-ים, יוספטל 92",03-5534038,N,מרכז,N,32.015454037467784,34.75528248909769
נעמן פורצלן,קניון לב חדרה,אביזרי מטבח,www.naamanp.co.il,"חדרה, רוטשילד 40",04-6220103,N,צפון,N,32.437223215822435,34.92104975484172
נעמן פורצלן,ירושלים סנטר,אביזרי מטבח,www.naamanp.co.il,"ירושלים, ירמיהו 43",02-5384178,N,ירושלים,N,31.7902572013072,35.200705
נעמן פורצלן,נהריה,אביזרי מטבח,www.naamanp.co.il,"נהריה, אירית 2 שכונת עין שרה",04-8113545,N,צפון,N,32.99002744007948,35.09485744007948
נעמן פורצלן,נתניה קניון השרון,אביזרי מטבח,www.naamanp.co.il,"נתניה, הרצל 60",09-8333271,N,שרון,N,32.32659099159312,34.861709392988516
נעמן פורצלן,ראשון לציון הזהב,אביזרי מטבח,www.naamanp.co.il,"ראשון לציון, דוד סחרוב 21",03-9622294,N,מרכז,N,31.989748046592872,34.77431677041389
נעמן פורצלן,שער ראשון,אביזרי מטבח,www.naamanp.co.il,"ראשון לציון, ההסתדרות 6",03-6037852,N,מרכז,N,31.966334168051745,34.78471739009663
נעמן פורצלן,עכו עזריאלי,אביזרי מטבח,www.naamanp.co.il,"עכו, החרושת 2",04-6445148,N,צפון,N,32.92291983779099,35.081182773735364
קלאסיקה,גרנד קניון,אביזרי מטבח,,"חיפה, דרך שמחה גולן 54",04-8120118,N,צפון,N,32.7896772013072,35.007954
נעמן פורצלן,קרית גת קרית,אביזרי מטבח,www.naamanp.co.il,"קרית גת, כיכר פז 3",08-9209491,N,דרום,N,31.606821,34.77323
נעמן פורצלן,נתיבות צים,אביזרי מטבח,www.naamanp.co.il,"נתיבות, בעלי המלאכה 5",08-9964050,N,דרום,N,31.4176972013072,34.593019
ארקוסטיל קיטצ'ן,אשקלון,אביזרי מטבח,,"אשקלון, צומת סילבר, מתחם קוסמוס לשעבר",08-9109324,N,דרום,N,31.662513,34.601276
ארקוסטיל קיטצ'ן,כפר סבא,אביזרי מטבח,,"כפר סבא, קניון כפר סבא הירוקה, רפפורט 3",09-8338567,N,שרון,N,32.191937,34.891559
ארקוסטיל קיטצ'ן,נתניה,אביזרי מטבח,,"נתניה, פולג, גיבורי ישראל 7",09-7680099,N,שרון,N,32.278242,34.860557
ארקוסטיל קיטצ'ן,רעננה,אביזרי מטבח,,"רעננה, איזי שפירא 1",09-7701234,N,שרון,N,32.190148,34.869043
ארקוסטיל קיטצ'ן,תל אביב,אביזרי מטבח,,"תל אביב, נמל תא האנגר 12, שוק הנמל",077-5232751,N,מרכז,N,32.098802,34.774078
ארקוסטיל קיטצ'ן,נשר,אביזרי מטבח,,"נשר, דרך בר יהודה 147 מבנה תל חנן",04-6712656,N,צפון,N,32.778251,35.038947
ארקוסטיל קיטצ'ן,מתחם אלון עין שמר,אביזרי מטבח,,"פרדס חנה, מתחם אלון עין שמר דרך עירון 200 פרדס חנה",04-8516718,N,צפון,N,32.465384,34.991906
נעמן פורצלן,מעלה אדומים,אביזרי מטבח,www.naamanp.co.il,"מעלה אדומים, דרך קדם 1",02-5718776,N,ירושלים,N,31.769938,35.298488
נעמן פורצלן,רמלה עזריאלי,אביזרי מטבח,www.naamanp.co.il,"רמלה, שד' הרצל 91",08-9250921,N,מרכז,N,31.9261492013072,34.876201
לובלינסקי,קרליבך,אביזרי מטבח,www.lublinsky.co.il,"תל אביב, קרליבך 14",03-5284860,Y,מרכז,N,32.070163,34.782884
לובלינסקי,קיבוץ גלויות,אביזרי מטבח,www.lublinsky.co.il,"תל אביב, קיבוץ גלויות 32",03-6811007 ,Y,מרכז,N,32.051781,34.768267
נעמן פורצלן,מויעין עזריאלי,אביזרי מטבח,www.naamanp.co.il,"מודיעין, לב העיר 2",08-9156382,N,ירושלים,N,31.899689,35.007642
נעמן פורצלן,אלעד רימון,אביזרי מטבח,www.naamanp.co.il,"אלעד, שמעון בן שטח 10",03-6099450,N,מרכז,N,32.054595,34.960610
נעמן פורצלן,הרצליה רחוב הס,אביזרי מטבח,www.naamanp.co.il,"הרצליה, הס 48",09-9586010,N,שרון,N,32.163094,34.842040
נעמן פורצלן,בני ברק,אביזרי מטבח,www.naamanp.co.il,"בני ברק, אהרונוביץ 24",,N,מרכז,N,32.087754,34.838647
נעמן פורצלן,חדרה פוליגון,אביזרי מטבח,www.naamanp.co.il,"חדרה, צה""ל 35",04-6210814,N,צפון,N,32.440537,34.930464
נעמן פורצלן,בני ברק,אביזרי מטבח,www.naamanp.co.il,"בני ברק, ז'בוטינסקי 14 פינת רבי עקיבא",03-6186382,N,מרכז,N,32.091328,34.825458
נעמן פורצלן,גבעתיים,אביזרי מטבח,www.naamanp.co.il,"גבעתיים, ויצמן 26",03-5732842,N,מרכז,N,32.073042,34.808593
נעמן פורצלן,רמת גן,אביזרי מטבח,www.naamanp.co.il,"רמת גן, ביאליק 58",03-6726434,N,מרכז,N,32.084503,34.813144
נעמן פורצלן,נשר מבנה,אביזרי מטבח,www.naamanp.co.il,"נשר, בר יהודה 147",04-6015419,N,צפון,N,32.778278,35.038947
נעמן פורצלן,מתחם ONE,אביזרי מטבח,www.naamanp.co.il,"קרית שמונה, אזור תעשיה דרומי",04-8110962,N,צפון,N,33.198361,35.577428
נעמן פורצלן,אורות אור עקיבא,אביזרי מטבח,www.naamanp.co.il,"אור עקיבא, הנשיא 1",04-6545781,N,צפון,N,32.519088,34.947478
נעמן פורצלן,אשקלון גירון,אביזרי מטבח,www.naamanp.co.il,"אשקלון, בן גוריון 21",08-6886232,N,דרום,N,31.663715,34.564420
נעמן פורצלן,גלובוס סנטר מבקיעים,אביזרי מטבח,www.naamanp.co.il,"אשקלון, מתחם גלובוס סנטר",,N,דרום,N,31.627005,34.583674
נעמן פורצלן,חופה חוצות,אביזרי מטבח,www.naamanp.co.il,"חיפה, חוצות המפרץ",04-8418349,N,צפון,N,32.807385,35.056254
נעמן פורצלן,ביג יוקנעם,אביזרי מטבח,www.naamanp.co.il,"יוקנעם, יצחק רבין 9",04-8462181,N,צפון,N,32.642806,35.092648
נעמן פורצלן,ירושלים קניון רמות,אביזרי מטבח,www.naamanp.co.il,"ירושלים, גולדה מאיר 255",02-5792405,N,ירושלים,N,31.817844,35.194631
נעמן פורצלן,כרמיאל,אביזרי מטבח,www.naamanp.co.il,"כרמיאל, מעלון כמון 5",04-8816027,N,צפון,N,32.928015,35.326121
נעמן פורצלן,מגדל העמק,אביזרי מטבח,www.naamanp.co.il,"מגדל העמק, הזית 7",,N,צפון,N,32.675921,35.239639
נעמן פורצלן,מעלות תרשיחא צים,אביזרי מטבח,www.naamanp.co.il,"מעלות, שלמה שרירא 3",04-6213466,N,צפון,N,33.021693,35.280294
נעמן פורצלן,נתניה קרית שרונים,אביזרי מטבח,www.naamanp.co.il,"נתניה, טום לנטוס 26",09-7686268,N,שרון,N,32.306993,34.869080
נעמן פורצלן,עפולה פרנדלי,אביזרי מטבח,www.naamanp.co.il,"עפולה, רבין 18",04-6488178,N,צפון,N,32.619106,35.312562
נעמן פורצלן,קרית ביאליק קריון,אביזרי מטבח,www.naamanp.co.il,"קרית ביאליק, דרך עכו 153",04-6172980,N,צפון,N,32.838278,35.086180
נעמן פורצלן,ראש העין,אביזרי מטבח,www.naamanp.co.il,"ראש העין, בזק 1",03-5067107,N,מרכז,N,32.094640,34.972750
נעמן פורצלן,ראש פינה,אביזרי מטבח,www.naamanp.co.il,"ראש פינה, מעלה גיא אוני 1",04-8287573,N,צפון,N,32.968755,35.547488
נעמן פורצלן,רעננה,אביזרי מטבח,www.naamanp.co.il,"רעננה, המלאכה 2",09-7450986,N,שרון,N,32.198065,34.880460
נעמן פורצלן,שוהם,אביזרי מטבח,www.naamanp.co.il,"שוהם, הדקל 30",,N,ירושלים,N,32.006546,34.951146
נעמן פורצלן,פתח תקווה מגשימים,אביזרי מטבח,www.naamanp.co.il,"פתח תקווה, מגשימים 20 קרית מטלון",,N,מרכז,N,32.087461,34.853151
נעמן פורצלן,דיומנה פרץ סנטר,אביזרי מטבח,www.naamanp.co.il,"דימונה, אזור תעשיה 395 כביש 25",,N,דרום,N,31.061023,35.021376
נעמן פורצלן,חיפה ,אביזרי מטבח,www.naamanp.co.il,"חיפה, שמחה גולן 54",,N,צפון,N,32.789188,35.007988
נעמן פורצלן,רמת גן,אביזרי מטבח,www.naamanp.co.il,"רמת גן, קניון איילון,  אבא הלל 31",,N,מרכז,N,32.098630,34.826000
נעמן פורצלן,חולון,אביזרי מטבח,www.naamanp.co.il,"חולון, עזריאלי חולון, גולדה מאיר 7 ",03-5234012,N,מרכז,N,32.012240,34.779360
נעמן פורצלן,קניון רמלוד,אביזרי מטבח,www.naamanp.co.il,"רמלה, הצופית 40",,N,מרכז,N,31.933070,34.888800
סולתם רדד,סטאר סנטר אשדוד,אביזרי מטבח,www.soltam.co.il,"אשדוד, ז'בוטינסקי 31 - מתחם סטאר סנטר",08-8531138,N,דרום,N,31.811721,34.647382
סולתם רדד,צומת סילבר,אביזרי מטבח,www.soltam.co.il,"אשקלון, שער אשקלון, צומת סילבר",08-6725805,N,דרום,N,31.674527,34.608998
סולתם רדד,קניון קרית הממשלה,אביזרי מטבח,www.soltam.co.il,"באר שבע, קניון קרית הממשלה",08-6274581,N,דרום,N,31.245354,34.799543
סולתם רדד,ישפרו סנטר,אביזרי מטבח,www.soltam.co.il,"קרית גת, שד' מלכי ישראל 178 - ישפרו סנטר",08-6811367,N,דרום,N,31.603077,34.758708
סולתם רדד,ירשולים,אביזרי מטבח,www.soltam.co.il,"ירושלים, יד חרוצים 22",02-9665104,N,ירושלים,N,31.750127,35.215557
סולתם רדד,בני ברק,אביזרי מטבח,www.soltam.co.il,"בני ברק, רבי עקיבא 39",03-6167666,N,מרכז,N,32.088082,34.827225
סולתם רדד,קניון בת ים,אביזרי מטבח,www.soltam.co.il,"בת ים, יוספטל 92",03-6124020,N,מרכז,N,32.015594,34.755223
סולתם רדד,כפר סבא,אביזרי מטבח,www.soltam.co.il,"כפר סבא, ןיצמן 134",09-8650521,N,שרון,N,32.174622,34.911058
סולתם רדד,נתניה,אביזרי מטבח,www.soltam.co.il,"נתניה, הרצל 49",09-8615017,N,שרון,N,32.327424,34.860656
סולתם רדד,בילו סנטר,אביזרי מטבח,www.soltam.co.il,"קרית עקרון, בילו סנטר, צומת בילו",08-9457813,N,מרכז,N,31.872171,34.819362
סולתם רדד,קניון הזהב,אביזרי מטבח,www.soltam.co.il,"ראשון לציון, דוד סחרוב 21",03-6121060,N,מרכז,N,31.990374,34.774166
סולתם רדד,רמת גן,אביזרי מטבח,www.soltam.co.il,"רמת גן, תובל 32",03-5750999,N,מרכז,N,32.086585,34.803161
סולתם רדד,עתידים,אביזרי מטבח,www.soltam.co.il,"תל אביב, הברזל 33",03-6485193,N,מרכז,N,32.110463,34.841656
סולתם רדד,קניון לב חדרה,אביזרי מטבח,www.soltam.co.il,"חדרה, רוטשילד 40",04-6344198,N,צפון,N,32.437357,34.921050
סולתם רדד,יקנעם,אביזרי מטבח,www.soltam.co.il,"יקנעם, איזור תעשיה יקנעם",04-9593558,N,צפון,N,32.670735,35.104110
סולתם רדד,דודג סנטר נצרת,אביזרי מטבח,www.soltam.co.il,"נצרת עילית, דודג סנטר נצרת עילית",04-6455844,N,צפון,N,32.694100,35.303787
סולתם רדד,עזריאלי חיפה,אביזרי מטבח,www.soltam.co.il,"חיפה, דרך משה פילמן 4",04-84851515,N,צפון,N,32.790288,34.962284
סולתם רדד,אשדוד קניון הסיטי,אביזרי מטבח,www.soltam.co.il,"אשדוד, שד' מנחם בגין 1",,N,דרום,N,31.788830,34.641405
סולתם רדד,נתניה,אביזרי מטבח,www.soltam.co.il,"נתניה, בני ברמן 2",,N,שרון,N,32.277969,34.847711
סולתם רדד,גן יבנה ,אביזרי מטבח,www.soltam.co.il,"גן יבנה, המגינים 56, קניון פרנדלי ",03-9392820,N,מרכז,N,31.792320,34.711730
סולתם רדד,נהריה ,אביזרי מטבח,www.soltam.co.il,"נהריה, נהריה קניון ארנה, שד' בן צבי 1  ",,N,צפון,N,33.008121,35.108540
סולתם רדד,קרית אונו ,אביזרי מטבח,www.soltam.co.il,"קריון קרית אונו, שלמה המלך 37, ",,N,מרכז,N,32.055260,34.863200
סולתם רדד,רעננה ,אביזרי מטבח,www.soltam.co.il,"רעננה, קניון רננים, המלאכה 2",,N,שרון,N,32.197990,34.880110
סולתם רדד,ירושלים - קניון הראל ,אביזרי מטבח,www.soltam.co.il,"מבשרת ציון, מבשרת ציון",,N,ירושלים,N,31.800339,35.149126
סולתם רדד,טירה,אביזרי מטבח,www.soltam.co.il,"טירה, מרכז מסחרי SEVEN",,N,שרון,N,32.224995,34.939488
סולתם רדד,זכרון יעקב ,אביזרי מטבח,www.soltam.co.il,"זיכרון יעקב, קניון מול זכרון",,N,צפון,N,32.569231,34.933385
סולתם רדד,דימונה ,אביזרי מטבח,www.soltam.co.il,"דימונה, קניון פרץ סנטר ",,N,דרום,N,31.060006,35.020668
סולתם רדד,מגדל העמק,אביזרי מטבח,www.soltam.co.il,"מגדל העמק, קניון פרץ סנטר",04-6817722,N,צפון,N,32.678088,35.243176
קלאסיקה,כפר סבא,אביזרי מטבח,,"כפר סבא, כצנלסון 14",09-7655476,N,שרון,N,32.177500,34.903405
קלאסיקה,קניון חולון,אביזרי מטבח,,"חולון, גולדה מאיר 7",03-6520115,N,מרכז,N,32.012288,34.779430
קלאסיקה,ככר המדינה,אביזרי מטבח,,"תל אביב, ה באייר 52",03-5463626,N,מרכז,N,32.087824,34.790786
קלאסיקה,הרצליה פיתוח,אביזרי מטבח,,"הרצליה, קדושי השואה 54",09-9576682,N,שרון,N,32.170288,34.803072
קלאסיקה,גבעתיים,אביזרי מטבח,,"גבעתיים, ויצמן 65",03-7313543,N,מרכז,N,32.068626,34.808531
