שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
קפה נמרוד,מסעדה גלילית,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 08:00-לקוח אחרון
שבת: 08:00-לקוח אחרון","יורדי הסירה 1 , נמל תל אביב",cafenimrod.com,077-2133007,ישיבה במסעדה,,Y,בית קפה,תל אביב - יפו,מרכז,N,32.096010,34.776057
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ","יוספטל 92, קניון בת ים",www.cafecafe.co.il,03-5558999,ישיבה במסעדה,כשר,N,בית קפה,בת ים,מרכז,N,32.015582,34.755191
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",סוקולוב 48,www.cafecafe.co.il,03-5036699,ישיבה במסעדה,כשר,N,בית קפה,חולון,מרכז,N,32.022702,34.774442
קפה קפה,בית קפה מסעדה- חלבי,"בית קפה,חלבי","א-ה: 07:30-לקוח אחרון
שישי: 07:30-14:30
שבת: מוצ""ש-לקוח אחרון","קניון רמלוד, הצופית 40",www.cafecafe.co.il,08-9214639,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,רמלה,מרכז,N,31.931315,34.890029
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ","קניון עזריאלי, קומה 2",www.cafecafe.co.il,03-6094770,ישיבה במסעדה,כשר למהדרין,N,בית קפה,תל אביב - יפו,מרכז,N,32.074322,34.792081
רק בשר ,בשרי,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",דרך שלמה 19,www.rakbasar.co.il,1-700-550-028,ישיבה במסעדה,,N,מסעדה,תל אביב - יפו,מרכז,N,32.054514,34.763000
רק בשר ,בשר,בשרים,"א-ה: 12:00-01:30
שישי: 12:00-01:30
שבת: 12:00-01:30",שמוטקין 10 א. תעשיה מזרח,www.rakbasar.co.il,1-700-550-028,ישיבה במסעדה,,N,מסעדה,ראשון לציון,מרכז,N,31.974002,34.810782
ברוהאוס הגולן,בשרי מבשלת בירה,בר-פאב,"א-ה: 11:00-לקוח אחרון
שישי: 11:00-לקוח אחרון
שבת: 11:00-לקוח אחרון","א. ת. קצרין מתחם חוצות, דרך היין",www.brewhouse-golan.co.il,04-6961311,ישיבה במסעדה,,Y,בר-פאב,קצרין,צפון,N,32.991049,35.707939
סקואלה,,בית קפה,"א-ה: 10:00-22:00
שישי: 09:00- כניסת שבת
שבת: מוצ""ש - 23:00",קניון חיפה - דרך משה פלימן 4,,04-6294086,ישיבה במסעדה,כשר,Y,בית קפה,חיפה,צפון,N,32.790243,34.963845
קימל בגילבוע,בשרי/שף צרפתי,"בשרים,צרפתי","א-ה: 12:00-24:00
שישי: 
שבת: ",מתחם סקי גלבוע דרך נוף הגלבוע,kimmelbagilboa.co.il,04-6895566,ישיבה במסעדה,,Y,מסעדת שף,שדי תרומות,צפון,N,32.552673,35.333576
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: "," תחנת דלק פז, בכניסה לקיבוץ יפעת",www.cafecafe.co.il,04-6548830,ישיבה במסעדה,,N,בית קפה,יפעת,צפון,N,32.675397,35.220881
קפה קפה,בית קפה,בית קפה,"א-ה: 07:30-00:00
שישי: 
שבת: חצי שעה לאחר צאת השבת -00:00",אירוס 1,www.cafecafe.co.il,04-8704296,ישיבה במסעדה,כשר,N,בית קפה,קריית ים,צפון,N,32.842948,35.071047
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",כביש 89 כניסה לכפר מעיליא,www.cafecafe.co.il,04-9966680,ישיבה במסעדה,,N,בית קפה,מעיליא,צפון,N,33.025217,35.253496
קפה קפה ,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",קניון נחמיה,www.cafecafe.co.il,04-6789220,ישיבה במסעדה, כשר למהדרין,Y,בית קפה,קריית שמונה,צפון,N,33.219706,35.576833
La Vaca Loca,מסעדת בשרים ואוכל טוב,בשרים,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",מדינת היהודים 60,,09-9555037,ישיבה במסעדה,,Y,מסעדה,הרצליה,שרון,N,32.166316,34.809613
מקס ברנר ,בית קפה מתוקים וקינוחים,"בית קפה,מתוקים-קינוחים","א-ה: א',ב',ג',ה' 10:00-00:00, ד' 12:00-00:00
שישי: 16:00-01:30
שבת: 14:00-23:00","גבורי ישראל 17 א""ת פולג",www.max-brenner.co.il,09-8858500,"ישיבה במסעדה,איסוף עצמי",,N,"מסעדה,בית קפה",נתניה,שרון,N,32.282339,34.861620
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ","כביש החוף, מתחם תחנת דלק סונול",www.cafecafe.co.il,09-8825460,ישיבה במסעדה,כשר,N,בית קפה,נתניה,שרון,N,32.324856,34.865960
מוסקטו,תפריט איטלקי,איטלקי,"א-ה: 09:00-24:00
שישי: 09:00 - כניסת שבת
שבת: מוצ""ש - 24:00",יוסף סמלו 123,,057-9443324,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,נתיבות,דרום,N,31.420391,34.599831
Moon,סושי,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-24:30
שישי: 12:00-24:30
שבת: 12:00-24:30",בוגרשוב 58,moon.rest.co.il,03-6291155,"ישיבה במסעדה,איסוף עצמי",,Y,מסעדה,תל אביב - יפו,מרכז,N,32.075713,34.772048
Moon D-Light,סושי,סושי-אסייאתי,"א-ה: 12:00-24:00
שישי: 12:00-24:00
שבת: 12:00-24:00",פינסקר 30,moon-sushi.co.il,03-6034422,"ישיבה במסעדה,איסוף עצמי",,Y,מסעדה,תל אביב - יפו,מרכז,N,32.075121,34.771142
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",מרכז מסחרי קומה ב,www.cafecafe.co.il,04-6181226,ישיבה במסעדה,כשר,N,בית קפה,רמת ישי,צפון,N,32.708228,35.174875
קפה קפה,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",הקריון - דרך עכו 192,www.cafecafe.co.il,04-8764100,ישיבה במסעדה,,N,בית קפה,קריית ביאליק,צפון,N,32.842186,35.088886
הסושייה,אסייתי,סושי-אסייאתי,"א-ה: 11:00-24:00
שישי: 11:00-24:00
שבת: 12:00-24:00",יעל רום 8,hasushia.com,03-6226288,"ישיבה במסעדה,משלוחים",,Y,מסעדה,פתח תקווה,מרכז,N,32.100375,34.881767
מדאמס,חומוסיה,מזרחי,"א-ה: 10:00-21:00
שישי: 10:00-16:00
שבת: סגור",ברזיל 17,,03-7440244,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,תל אביב - יפו,מרכז,N,32.111390,34.796645
מדאמס,חומוסיה,מזרחי,"א-ה: 10:00-21:00
שישי: 10:00-16:00
שבת: סגור",הדר יוסף 14,,03-6443020,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,תל אביב - יפו,מרכז,N,32.109726,34.818619
ראנץ האוס,בשרי,בשרים,"א-ה: 12:00-24:00
שישי: 
שבת: מוצ""ש-11:00",טיילת רואיל ביץ החוף הצפוני,ranchhouse.rest.co.il,08-6368888,ישיבה במסעדה,כשר,Y,מסעדה,אילת,אילת,N,29.551181,34.96531
לה קוצ'ינה,מסעדה איטלקית,איטלקי,"א-ה: 18:00-23:00
שישי: 
שבת: ",טיילת רואיל ביץ החוף הצפוני,lacuccina.rest.co.il,08-6368932,ישיבה במסעדה,,Y,מסעדה,אילת,אילת,N,29.551181,34.965104
קפה קפה,חלבי,"בית קפה,חלבי","א-ה: 08:00-22:30
שישי: 08:00-שעתיים לכניסת שבת
שבת: מוצ""ש - 23:00",גרנד קניון שדרות טוביהו 125,www.cafecafe.co.il/he/home/a/main,08-9918698,ישיבה במסעדה,כשר מהדרין,Y,בית קפה,באר שבע,דרום,N,31.252307,34.769776
דוניה רוסה,בשרי ארגנטינאי,בשרים,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-21:00",עין הוד כפר האומנים,,057-9345520,ישיבה במסעדה,,Y,מסעדה,עין הוד,צפון,N,32.701411,34.979932
מחלבת דשן,חלבי,חלבי,"א-ה: 08:30-20:00
שישי: 08:00-14:00
שבת: ",יגאל אלון 161,deshen-dairy.co.il,03-5417692,ישיבה במסעדה,כשר למהדרין,Y,מעדניה,תל אביב - יפו,מרכז,N,32.078783,34.798123
הסושייה,אסיאתי,סושי-אסייאתי,"א-ה: 11:30-12:00
שישי: 11:30-12:00
שבת: 12:30-24:00","אהרון בקר 8, מיקדו סנטר",hasushia.com,03-7287666,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.123151,34.816404
קפה קפה,בשרי,בית קפה,"א-ה: 07:00-02:00
שישי: 07:00-02:00
שבת: 07:00-02:00",כמאל ג'מבלאט 1,www.cafecafe.co.il,04-6237802,ישיבה במסעדה,,Y,בית קפה,שפרעם,צפון,N,32.810198,35.165822
קפה קפה,בית קפה מסעדה - בשרי,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 08:00-לקוח אחרון
שבת: 08:00-לקוח אחרון",שדרות בן גוריון 31,www.cafecafe.co.il,04-9823077,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.820197,34.990672
קפה קפה,בית קפה מסעדה- חלבי,"בית קפה,חלבי","א-ה: 08:00-לקוח אחרון
שישי: 08:00-שעתיים לכניסת השבת
שבת: מוצ""ש-לקוח אחרון",יורדי ים 1 - מרינה הרצליה,www.cafecafe.co.il,09-9560404,ישיבה במסעדה,כשר,Y,בית קפה,הרצליה,שרון,N,32.161106,34.796018000000004
בני הדייג,בשרים דגים פירות ים,"בשרים,דגים","א-ה: 09:00-23:30
שישי: 09:00-23:30
שבת: 09:00-23:30",יורדי ים 1 - מרינה הרצליה,,09-9557387,ישיבה במסעדה,,Y,מסעדה,הרצליה,שרון,N,32.161106,34.795812
מיניסטור פלאפל,ישראלי ביתי,מזרחי,"א-ה: 08:00-20:00
שישי: סגור
שבת: סגור",אבן גבירול 30,,050-6906909,"ישיבה במסעדה,משלוחים",כשר למהדרין,Y,מסעדה,תל אביב - יפו,מרכז,N,32.074975,34.781798
מינה טומיי,אסיאתי,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-24:20
שישי: 12:00-24:20
שבת: 12:00-24:20",הארבעה 17,,2750*,"ישיבה במסעדה,משלוחים",,Y,מסעדה,תל אביב - יפו,מרכז,N,32.070403,34.786396
מינה טומיי,אסיאתי,סושי-אסייאתי,"א-ה: 12:00-23:00
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",פלימן 8 מרכז קסטגו,,2750*,"ישיבה במסעדה,משלוחים",,Y,מסעדה,חיפה,צפון,N,32.790246,34.963632000000004
רפאלו,איטלקי,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-24:00
שבת: 12:00-24:00",פלימן 8 מרכז קסטרא,www.raffaello.co.il,6632*,"ישיבה במסעדה,משלוחים",,Y,מסעדה,חיפה,צפון,N,32.790246,34.963426
קפה קפה,בית קפה מסעדה- חלבי,"בית קפה,חלבי","א-ה: 09:00-23:00
שישי: 08:00-שעתיים לכניסת השבת
שבת: מוצ""ש - 24:00","סחרוב 21, קניון הזהב",www.cafecafe.co.il,03-6055328,ישיבה במסעדה,כשר,Y,בית קפה,ראשון לציון,מרכז,N,31.989917,34.774349
וניה ביסטרו,צרפתי ביסטרו,צרפתי,"א-ה: 12:00-01:00 שני סגור
שישי: 13:00-01:00
שבת: 13:00-01:00",שער פלמר 1,,04-6716272,ישיבה במסעדה,,Y,מסעדה,חיפה,צפון,N,32.819791,34.999997
קפה קפה,בשרי,בית קפה,"א-ה: 08:00-24:00
שישי: 07:00-מוצ""ש 24:00
שבת: יום ו' 07:00-מוצ""ש 24:00",רחוב הבילויים 5,www.cafecafe.co.il/he/home/a/main,08-8694590,ישיבה במסעדה,,Y,בית קפה,גדרה,דרום,N,31.814960,34.773146
קפה קפה,בשרי,בית קפה,"א-ה: 08:00-23:00
שישי: 08:00-15:00
שבת: מוצ""ש -23:00",קניון לב חדרה - שד' רוטשילד 40,www.cafecafe.co.il,04-6218162,ישיבה במסעדה,,Y,בית קפה,חדרה,צפון,N,32.437331,34.921169
קפה קפה,בשרי,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 8:00-16:00
שבת: 18:00-24:00",גרנד קניון דרך שימחה גולן 54,www.cafecafe.co.il,04-8120155,ישיבה במסעדה,,Y,בית קפה,חיפה,צפון,N,32.789570,35.007663
הגראז אוכלים שותים,בר וגריל,בשרים,"א-ה: 12:00-02:00
שישי: 12:00-02:00
שבת: 12:00-02:00",הרצל 151,www.garageburger.co.il,03-6499600,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.947022,34.801847
בני הדייג,איסוף עצמי,"בשרים,דגים","א-ה: 12:00-00:00
שישי: 12:00-00:00
שבת: 12:00-00:00",טיילת 19 חוף הים,www.rol.co.il/sites/benny-hadayag-rishon,03-5440050,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.999006,34.732572
הדיואן,בשרי,בשרים,"א-ה: 11:30-23:30
שישי: 11:30-23:30
שבת: 11:30-23:30",כפר מג'אר,,050-2281151,ישיבה במסעדה,,N,מסעדה,מגאר,צפון,N,32.890751,35.405090
קפה אופטימי,בית קפה מסעדה,"בית קפה,חלבי","א-ה: 09:00-02:00
שישי: 09:00-02:00
שבת: 09:00-02:00",מרכז פנינת אילת (צמוד לקניון מול ים),www.rol.co.il/sites/cafe-optimi,08-6376510,ישיבה במסעדה,,Y,בית קפה,אילת,אילת,N,29.550936,34.954519
אוליב," סנדויץ בר, איטלקי מהיר","איטלקי,כריכים-סלטים","א-ה: 24 שעות
שישי: 24 שעות
שבת: 24 שעות",לילנבלום 24,olive-rest.co.il,03-5106680,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.062150,34.770019
Black,רשת המבורגר כולל ארוחות עסקיות ,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",קניון סינמול,blackbarburger.co.il,04-8422400,ישיבה במסעדה,,Y,מסעדה,חיפה,צפון,N,32.792638,35.037401
Black,רשת המבורגר כולל ארוחות עסקיות ,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",ברוך קנטיקי 2,blackbarburger.co.il,072-3940247,ישיבה במסעדה,כשר,Y,מסעדה,באר שבע,דרום,N,31.224418,34.801447
סינטה,בשרי,בשרים,"א-ה: 12:00-לקוח אחרון
שישי: 
שבת: חצי שעה ממוצ""ש-לקוח אחרון",רחוב האורגים 11,www.rol.co.il/sites/sinta,08-8606606,"ישיבה במסעדה,משלוחים",כשר,Y,מסעדה,אשדוד,דרום,N,31.811852,34.659195
קפה קפה,בית קפה,בית קפה,"א-ה: 08:00-23:30
שישי: 08:00-23:30
שבת: 08:00-23:30",כפר טרוען מתחם צמח מול הכינרת,www.cafecafe.co.il,04-6221668,ישיבה במסעדה,,Y,בית קפה,טבריה,צפון,N,32.775137,35.378344
דלאל,בשר/דגים/איטלקי,"בשרים,דגים","א-ה: 12:00-24:30
שישי: 9:00-24:30
שבת: 09:00-24:30",שבזי 10,,03-5109292,ישיבה במסעדה,,Y,מסעדת שף,תל אביב - יפו,מרכז,N,32.061219,34.763447
מקס ברנר,בית קפה מתוקים וקינוחים,"בית קפה,מתוקים-קינוחים","א-ה: א'-ד' 16:00-23:00 ה' 16:00-00:00
שישי: 10:00-00:00
שבת: 10:00-01:30",השחם 30,www.max-brenner.co.il,,"ישיבה במסעדה,איסוף עצמי",,Y,"מסעדה,בית קפה",פתח תקווה,מרכז,N,32.086505,34.858903
Siesata,בית קפה,בית קפה,"א-ה: 07:30-23:00
שישי: 07:30-23:00
שבת: 09:00-23:00",חייל ההנדסה 1/5,www.rol.co.il/sites/siesta,08-6650334,ישיבה במסעדה,,Y,בית קפה,באר שבע,דרום,N,31.243261,34.812207
בני הדייג,דגים ובשרים,"בשרים,דגים","א-ה: 10:00-00:00
שישי: 10:00-00:00
שבת: 10:00-00:00",כפר הים 1 גבעת אולגה,,04-6444564,ישיבה במסעדה,,Y,מסעדה,חדרה,צפון,N,32.385293,34.864500
קפה קפה,בית קפה,בית קפה,"א-ה: 08:30-24:00
שישי: 08:30-שעת לכניסת השבת
שבת: מוצ""ש-24:00",החרושת 2 קניון עזריאלי,www.cafecafe.co.il,04-6013618,ישיבה במסעדה,כשר למהדרין,Y,בית קפה,עכו,צפון,N,32.923047,35.081231
קפה קפה,בית קפה,בית קפה,"א-ה: 08:00-24:00
שישי: 08:00-24:00
שבת: 17:30-24:00",יהושוע חנקין 14 קניון ערים,www.cafecafe.co.il,04-6404083,ישיבה במסעדה,,Y,בית קפה,עפולה,צפון,N,32.604192,35.294081
הצוק,שף,"בשרים,דגים","א-ה: 12:00-22:00
שישי: 11:00- שעה לכניסת השבת
שבת: מוצ""ש לפי אירועים",אתר תיירות ראש הנקרה,atzuk.rest.co.il,04-6016849,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,כפר ראש הנקרה,צפון,N,33.086090,35.113455
הבוסתן ,גן- קפה ומסעדה,בית קפה,"א-ה: 10:00-23:00
שישי: 10:00-23:00
שבת: 10:00-23:00",פארק לב הארץ מול אפק,www.busttan.co.il,03-9011060,"ישיבה במסעדה,איסוף עצמי,משלוחים",,Y,מסעדה,ראש העין,מרכז,N,32.098081,34.947045
יתברך,מטבח אתיופי,בשרים,"א-ה: 12:00-22:30
שישי: 09:00-14:00
שבת: שעה ממוצ""ש-22:30",קיבוץ גלויות 3,,08-6759186,ישיבה במסעדה,,N,מסעדה,אשדוד,דרום,N,31.806012,34.652997
קפה קפה ,בית קפה,בית קפה,"א-ה: 07:30-24:00
שישי: 07:30-24:00
שבת: 07:30-24:00",טמרה,www.cafecafe.co.il,04-6574014,ישיבה במסעדה,,Y,בית קפה,טמרה,צפון,N,32.857397,35.170993
קפה קפה,בית קפה,בית קפה,"א-ה: 08:00-24:00
שישי: 08:00-24:00
שבת: 08:00-24:00",כפר יאסיף,,04-6468827,ישיבה במסעדה,,Y,בית קפה,כפר יאסיף,צפון,N,31.252584,34.846767
פסטה לוקו,מסעדת שף איטלקית כשרה,"איטלקי,דגים,חלבי","א-ה: 09:30-22:00
שישי: 09:00-14:00
שבת: סגור",הלל יפה 21,www.pastaloco.com/,04-6936305,ישיבה במסעדה,כשר,Y,מסעדה,חדרה,צפון,N,32.436919,34.917014
קפה קפה,בית קפה,בית קפה,"א-ה: 08:00-24:30
שישי: 08:00-24:30
שבת: 08:00-24:30",מפגש מזרע,,04-6706040,ישיבה במסעדה,,N,בית קפה,מזרע,צפון,N,32.983651,35.098915
ג'וני קריספי,סנדוויץ בר/סלטים,"בשרים,כריכים-סלטים","א-ה: 11:00-24:00
שישי: סגור
שבת: מוצ""ש-24:00",שד' אבא אבן 18,www.johnnycrispy.com,,ישיבה במסעדה,כשר,Y,מסעדה,הרצליה,שרון,N,32.162637,34.807204
רפאלו קריון,מסעדה איטלקית,איטלקי,"א-ה: 09:00-24:00
שישי: 09:00-שעה לכניסת שבת
שבת: מוצ""ש-24:00",דרך עכו 192,,6632*,ישיבה במסעדה,כשר,Y,מסעדה,קריית ביאליק,צפון,N,32.843348,35.090944
מינה טומיי,אסיאתי,סושי-אסייאתי,"א-ה: 11:00-24:00
שישי: 11:00-01:00
שבת: 11:00-01:00","קניון קריון, דרך עכו 192",,2750*,"ישיבה במסעדה,משלוחים",,Y,מסעדה,קריית ביאליק,צפון,N,32.843348,35.090737999999995
כאמל,בר מסעדה ממוקם על חוף הים,מזרחי,"א-ה: 09:00-02:00
שישי: 08:00-03:00
שבת: 08:00-03:00",דוד אלעזר 10,,04-8522990,ישיבה במסעדה,,N,מסעדה,חיפה,צפון,N,32.806201,34.957298
"קרנף-סינמה סיטי ראשל""צ","אוכל בשרי מהיר, טרי, טעים ובריא","בשרים,כריכים-סלטים","א-ה: 11:00-23:00
שישי: 11:00-24:00
שבת: 11:00-24:00",ילדי טהרן 3 - סינמה סיטי,karnaf.com,03-9414461,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.983961,34.770877
קרנף-אבן גבירול,"אוכל בשרי מהיר, טרי, טעים ובריא","בשרים,כריכים-סלטים","א-ה: 11:30-04:30
שישי: 11:30-04:30
שבת: 11:30-04:30",אבן גבירול 164,karnaf.com,03-5468179,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.090671,34.782924
קרנף,"אוכל בשרי מהיר, טרי, טעים ובריא","בשרים,כריכים-סלטים","א-ה: 11:00-24:00
שישי: 11:00-24:00
שבת: 11:00-24:00",סוקולוב 72,,03-5490049,ישיבה במסעדה,כשר,N,מסעדה,רמת השרון,שרון,N,32.146091,34.838751
בוקריה,מסעדת בראנצ'ים וארוחות בוקר,"בית קפה,חלבי,צמחוני-טבעוני","א-ה: 10:00-24:00
שישי: 09:00-15:30
שבת: שעה ממוצ""ש-לקוח אחרון",רבין 17 (Y סנטר),bokeria.co.il,03-7444760,ישיבה במסעדה,כשר,Y,מסעדה,פתח תקווה,מרכז,N,32.087999,34.861165
אונזה,מסעדת שף ישראלית,"בר-פאב,בשרים,ים תיכוני,מזרחי","א-ה: 18:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00","רבי חנינא 3, שוק הפשפשים",onza.co.il,03-6486060,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.053008,34.755683
משייה,מסעדת שף (לשעות הפעילות יש להתעדכן באתר המסעדה),"בשרים,דגים,מזרחי,מתוקים-קינוחים","א-ה: 09:30-23:00
שישי: 09:30-15:00, 17:00-23:00
שבת: 12:30-15:00, 18:15:-23:00",מנדלי מוכר ספרים 5,mashya.co.il,03-7500999,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.079344,34.768773
מיזאקי,אוכל רחוב יפני,סושי-אסייאתי,"א-ה: 11:30-22:00
שישי: 
שבת: 11:30-22:00",מתחם שרונה,www.miazaki.co.il,03-8009999,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.073111,34.788325
